domain,status,label,detail,timestamp
www.4sync.com,benign,-,域名虽存在注册信息隐蔽、邮件与SSL配置缺失等潜在风险，但网站内容分析显示其为合法云存储服务，且DGA检测结果为legit，无明确恶意行为证据。,2025-08-12 17:10:43
rtost.duckdns.org,malicious,"钓鱼网站,远程访问木马,C2服务器,僵尸网络",域名存在Whois信息缺失、DNS解析异常、邮件安全配置缺失、SSL证书缺失等高风险特征，且被Palo Alto防火墙直接拦截标记为恶意软件类别,2025-08-12 17:11:40
neon.galaxias.cc,malicious,"垃圾邮件, 钓鱼网站",域名注册信息异常隐藏，DNS记录频繁变更且缺乏邮件/SSL安全配置，结合新注册短时间内的异常行为，高度疑似用于垃圾邮件或钓鱼活动。,2025-08-12 17:12:27
isnimitz.com,malicious,"C2服务器, 远程访问木马, 勒索软件, 僵尸网络",域名被Palo Alto防火墙标记为恶意软件，注册信息异常，DNS解析历史复杂，邮件安全配置缺失，SSL证书异常，且DGA检测结果为恶意域名生成，综合判断存在高风险恶意行为。,2025-08-12 17:13:24
tripplefury.com,malicious,可疑域名，可能用于隐蔽活动或恶意行为,域名注册信息缺失、DNS解析异常、IP地理分布广泛且频繁变更、缺乏邮件安全配置，存在高风险行为特征。,2025-08-12 17:14:17
bulon.trumdvfb.com,malicious,"钓鱼网站, 垃圾邮件, 僵尸网络",域名存在Whois信息缺失、DNS解析异常、邮件安全机制缺失、SSL证书缺失及历史记录空白等高风险特征，且域名结构疑似拼写错误模仿合法名称，高度可疑用于钓鱼攻击或恶意活动。,2025-08-12 17:15:27
huadongrubbercable.com,malicious,"钓鱼网站, 垃圾邮件",域名注册信息缺失、DNS解析异常、邮件安全配置缺失、域名状态异常，存在高风险行为特征。,2025-08-12 17:16:26
ftp.ywxww.net,malicious,"垃圾邮件,C2服务器,僵尸网络",域名存在注册信息不完整、IP频繁变更、缺乏邮件安全配置及SSL异常等高风险特征，结合FTP服务无法访问及潜在恶意用途推测，高度疑似用于垃圾邮件分发、C2通信及僵尸网络活动。,2025-08-12 17:17:47
api.ewfiles.net,malicious,"钓鱼网站, 垃圾邮件, 数据窃取",域名注册信息异常（短期注册、频繁更新）、DNS解析失败、邮件安全配置缺失、SSL证书缺失及网站内容缺失，存在被用于钓鱼、垃圾邮件及数据窃取的高风险。,2025-08-12 17:19:07
hbws.cc,malicious,"垃圾邮件, 钓鱼网站, C2服务器",注册信息隐藏、IP频繁变更、邮件安全缺失及SSL证书短期有效等异常特征，结合网站未配置实际业务内容，存在被用于垃圾邮件、钓鱼攻击及作为C2服务器的高风险。,2025-08-12 17:20:28
bot.hiddenlists.net,malicious,"僵尸网络,C2服务器",域名解析历史关联荷兰可疑IP（45.142.122.235），且存在隐私信息隐藏、SSL证书缺失、邮件安全记录缺失等异常特征，结合子域名'bot'的命名特征，高度疑似僵尸网络C2服务器,2025-08-12 17:21:58
diicotsec.ru,malicious,"钓鱼网站,C2服务器",域名存在注册信息不透明、DNS历史异常、邮件安全缺失及SSL证书问题，且网站暴露默认测试页面，存在被用于钓鱼攻击和作为恶意控制服务器的高风险。,2025-08-12 17:23:04
ekochist.com,benign,-,域名未发现明确恶意行为，但邮件安全配置缺失可能被用于垃圾邮件或钓鱼攻击。,2025-08-12 17:24:22
jupagroup.com,benign,-,域名未发现直接恶意行为，但存在邮件安全配置缺失等潜在风险，需完善安全措施。,2025-08-12 17:25:42
redempti.com,benign,-,域名通过DGA检测为合法，但存在注册信息缺失、DNS历史复杂、邮件安全机制缺失等潜在风险，需持续监控。,2025-08-12 17:26:58
petrofac-files.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名注册信息缺失、DNS解析异常、邮件安全配置不完整、SSL证书缺失且网站无法访问，存在高风险恶意行为特征。,2025-08-12 17:28:17
astaoffices.com,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、邮件安全机制未配置、SSL证书缺失、DNS解析异常及短期注册等高风险特征，且当前无法访问可能隐藏恶意用途。,2025-08-12 17:30:46
